('LinearRegression_Z(A)', -2.8006684781674576)
('LinearRegression_a', -2.8006684781674576)
('LinearRegression_b', -2.8006684781674576)
('LinearRegression_c', -2.8006684781674576)
('LinearRegression_cb', -2.8006684781674576)
('LinearRegression_ca', -2.8006684781674576)
('LinearRegression_Eadh', -2.8006684781674576)
('LinearRegression_E', -2.8006684781674576)
('LinearRegression_V', -2.8006684781674576)
('LinearRegression_¦¤E(eV)', -2.8006684781674576)
('ExtraTree_¦¤E(eV)', -2.2159181565831148)
('DecisionTree_cb', -1.2551354727295254)
('DecisionTree_E', -1.2541542329966582)
('ExtraTree_Eadh', -0.9481035388157706)
('DecisionTree_Eadh', -0.734904620606956)
('DecisionTree_a', -0.6800210838817604)
('DecisionTree_c', -0.662589973627199)
('ExtraTree_E', -0.6341573780343435)
('DecisionTree_Z(A)', -0.6265993967585914)
('AdaBoost_V', -0.6083478591347897)
('DecisionTree_V', -0.5922584544408886)
('ExtraTree_Z(A)', -0.5357083994193854)
('Bagging_Eadh', -0.5185882594259987)
('ExtraTree_b', -0.3453283641650329)
('KNN_Z(A)', -0.3253095885816031)
('KNN_a', -0.3253095885816031)
('KNN_b', -0.3253095885816031)
('KNN_c', -0.3253095885816031)
('KNN_cb', -0.3253095885816031)
('KNN_ca', -0.3253095885816031)
('KNN_Eadh', -0.3253095885816031)
('KNN_E', -0.3253095885816031)
('KNN_V', -0.3253095885816031)
('KNN_¦¤E(eV)', -0.3253095885816031)
('AdaBoost_a', -0.31788592413595196)
('ANN_c', -0.2791613670812383)
('AdaBoost_cb', -0.26619904320716703)
('AdaBoost_b', -0.26577043332385153)
('GBM_¦¤E(eV)', -0.2547346634092078)
('ANN_Eadh', -0.24909400599289167)
('GBRT_cb', -0.2072586939780261)
('GBRT_Eadh', -0.18880488017756614)
('RandomForest_¦¤E(eV)', -0.1844006722842546)
('SVM_Z(A)', -0.18074285433836912)
('SVM_a', -0.18074285433836912)
('SVM_b', -0.18074285433836912)
('SVM_c', -0.18074285433836912)
('SVM_cb', -0.18074285433836912)
('SVM_ca', -0.18074285433836912)
('SVM_Eadh', -0.18074285433836912)
('SVM_E', -0.18074285433836912)
('SVM_V', -0.18074285433836912)
('SVM_¦¤E(eV)', -0.18074285433836912)
('Bagging_c', -0.1430536111613947)
('RandomForest_c', -0.1387938249981604)
('AdaBoost_Eadh', -0.13412772416220786)
('Bagging_Z(A)', -0.12024592992471494)
('ExtraTree_V', -0.1116111723754376)
('Bagging_ca', -0.09849042089742555)
('GBM_Eadh', -0.09040302811186218)
('Bagging_cb', -0.08527513252431707)
('GBM_Z(A)', -0.08326391710520009)
('RandomForest_E', -0.03861042382413116)
('GBRT_a', -0.03511514109875735)
('GBM_a', -0.03433841581571695)
('RandomForest_Eadh', -0.031283987137427305)
('AdaBoost_¦¤E(eV)', -0.025671288688342564)
('GBRT_c', -0.017435704058395896)
('GBRT_ca', 0.018380911597339233)
('Bagging_a', 0.02563327724035691)
('AdaBoost_E', 0.03670256433102581)
('ANN_cb', 0.04064330978095909)
('AdaBoost_c', 0.04410846189818052)
('GBRT_E', 0.0758754503660296)
('GBRT_¦¤E(eV)', 0.07787256569227963)
('GBM_ca', 0.09060774609881705)
('GBRT_b', 0.09553881815116594)
('RandomForest_a', 0.10046834473812316)
('GBRT_V', 0.10652817538670334)
('GBM_E', 0.1081349962159518)
('Bagging_E', 0.10916463977481394)
('AdaBoost_Z(A)', 0.10994934761951858)
('RandomForest_ca', 0.11468558623950209)
('AdaBoost_ca', 0.12110467302009753)
('GBM_cb', 0.12409085191949776)
('GBM_c', 0.12867221443254273)
('RandomForest_Z(A)', 0.13376755001130292)
('RandomForest_V', 0.15756331312273752)
('RandomForest_b', 0.16187788251689106)
('GBM_b', 0.170765621744432)
('RandomForest_cb', 0.18681356585028586)
('Bagging_¦¤E(eV)', 0.19886796301651855)
('Bagging_V', 0.20614452074805145)
('ANN_Z(A)', 0.23108316840543608)
('ExtraTree_cb', 0.23849543189501954)
('GBM_V', 0.2522941324599667)
('GBRT_Z(A)', 0.282174809231156)
('DecisionTree_b', 0.3128996116392567)
('Bagging_b', 0.3281673255327807)
('ExtraTree_ca', 0.34976796993556347)
('DecisionTree_¦¤E(eV)', 0.3504664597454069)
('DecisionTree_ca', 0.35622443984452346)
('ANN_V', 0.3742206391181301)
('ANN_a', 0.4185808858650283)
('ANN_b', 0.4602671572254353)
('ANN_¦¤E(eV)', 0.5951332085785471)
('ANN_ca', 0.6347307110934239)
('ExtraTree_c', 0.6824200097911775)
('ExtraTree_a', 0.689897456088854)
('ANN_E', 0.7167876287964486)
